Instance,N,Algorithm,MeanObjectiveValues_InitialStage_,MeanObjectiveValues_FinalStage_,MeanObjectiveValues_Delta_,ActivatedSatellites,MeanDroneRoutes_InitialStage_,MeanDroneRoutes_FinalStage_,MeanNewSortieCreated,Improved_Same_WorseVs_Theta_1
15 Customers,15,theta=1,24.69,39.99,15.30,1.07,3.20,4.67,1.47,/
,,theta=2,24.70,41.36,16.66,1.07,3.20,4.80,1.60,2/10/3
,,theta=3,24.70,41.36,16.66,1.07,3.20,4.80,1.60,2/10/3
,,theta=4,24.70,41.36,16.65,1.07,3.20,4.80,1.60,3/9/3
,,theta=5,24.70,41.36,16.66,1.07,3.20,4.80,1.60,3/10/2
30 Customers,15,theta=1,31.01,60.54,29.53,1.13,4.87,7.67,2.80,/
,,theta=2,31.19,59.57,28.38,1.13,4.80,7.53,2.73,3/12/0
,,theta=3,31.33,59.05,27.71,1.33,4.80,7.47,2.67,5/7/3
,,theta=4,31.46,59.83,28.37,1.47,4.80,7.53,2.73,5/6/4
,,theta=5,32.28,54.55,22.26,1.40,5.07,7.20,2.13,8/1/6
